
--- NEW SESSION: Sat Mar 28 16:54:01 2026 ---
Epoch 001 | Loss: 0.3856 | Acc: 0.8418 | LR: 0.000500 | Time: 4.1s
Epoch 002 | Loss: 0.3197 | Acc: 0.8576 | LR: 0.000500 | Time: 3.8s
Epoch 003 | Loss: 0.3058 | Acc: 0.8596 | LR: 0.000500 | Time: 3.7s
Epoch 004 | Loss: 0.2912 | Acc: 0.8713 | LR: 0.000500 | Time: 3.7s
Epoch 005 | Loss: 0.2788 | Acc: 0.8269 | LR: 0.000500 | Time: 3.7s
Epoch 006 | Loss: 0.2670 | Acc: 0.8742 | LR: 0.000500 | Time: 3.7s
Epoch 007 | Loss: 0.2554 | Acc: 0.8784 | LR: 0.000500 | Time: 3.7s
Epoch 008 | Loss: 0.2456 | Acc: 0.8973 | LR: 0.000500 | Time: 3.7s
Epoch 009 | Loss: 0.2448 | Acc: 0.8940 | LR: 0.000500 | Time: 3.7s
Epoch 010 | Loss: 0.2385 | Acc: 0.9076 | LR: 0.000500 | Time: 3.7s
Epoch 011 | Loss: 0.2308 | Acc: 0.8816 | LR: 0.000500 | Time: 3.7s
Epoch 012 | Loss: 0.2251 | Acc: 0.9033 | LR: 0.000500 | Time: 3.7s
Epoch 013 | Loss: 0.2106 | Acc: 0.8960 | LR: 0.000500 | Time: 3.7s
Epoch 014 | Loss: 0.1993 | Acc: 0.9264 | LR: 0.000500 | Time: 3.7s
Epoch 015 | Loss: 0.2023 | Acc: 0.9127 | LR: 0.000500 | Time: 3.7s
Epoch 016 | Loss: 0.1841 | Acc: 0.9040 | LR: 0.000500 | Time: 3.6s
Epoch 017 | Loss: 0.1821 | Acc: 0.9271 | LR: 0.000500 | Time: 3.6s
Epoch 018 | Loss: 0.1739 | Acc: 0.9200 | LR: 0.000500 | Time: 3.6s
Epoch 019 | Loss: 0.1724 | Acc: 0.9278 | LR: 0.000500 | Time: 3.6s
Epoch 020 | Loss: 0.1635 | Acc: 0.9409 | LR: 0.000500 | Time: 3.9s
Epoch 021 | Loss: 0.1586 | Acc: 0.9309 | LR: 0.000500 | Time: 3.9s
Epoch 022 | Loss: 0.1751 | Acc: 0.9387 | LR: 0.000500 | Time: 3.9s
Epoch 023 | Loss: 0.1683 | Acc: 0.9358 | LR: 0.000500 | Time: 3.9s
Epoch 024 | Loss: 0.1630 | Acc: 0.9329 | LR: 0.000500 | Time: 3.7s
Epoch 025 | Loss: 0.1540 | Acc: 0.9369 | LR: 0.000500 | Time: 3.7s
Epoch 026 | Loss: 0.1560 | Acc: 0.9420 | LR: 0.000500 | Time: 3.7s
Epoch 027 | Loss: 0.1543 | Acc: 0.9338 | LR: 0.000500 | Time: 3.7s
Epoch 028 | Loss: 0.1619 | Acc: 0.9422 | LR: 0.000500 | Time: 3.7s
Epoch 029 | Loss: 0.1567 | Acc: 0.9442 | LR: 0.000500 | Time: 3.7s
Epoch 030 | Loss: 0.1461 | Acc: 0.9351 | LR: 0.000500 | Time: 3.7s
Epoch 031 | Loss: 0.1518 | Acc: 0.9433 | LR: 0.000500 | Time: 3.7s
Epoch 032 | Loss: 0.1470 | Acc: 0.9184 | LR: 0.000500 | Time: 3.7s
Epoch 033 | Loss: 0.1454 | Acc: 0.9407 | LR: 0.000500 | Time: 3.7s
Epoch 034 | Loss: 0.1492 | Acc: 0.9380 | LR: 0.000500 | Time: 3.7s
Epoch 035 | Loss: 0.1438 | Acc: 0.9318 | LR: 0.000250 | Time: 3.7s
Epoch 036 | Loss: 0.1292 | Acc: 0.9544 | LR: 0.000250 | Time: 3.7s
Epoch 037 | Loss: 0.1229 | Acc: 0.9527 | LR: 0.000250 | Time: 3.7s
Epoch 038 | Loss: 0.1242 | Acc: 0.9487 | LR: 0.000250 | Time: 3.7s
Epoch 039 | Loss: 0.1210 | Acc: 0.9464 | LR: 0.000250 | Time: 3.7s
Epoch 040 | Loss: 0.1187 | Acc: 0.9549 | LR: 0.000250 | Time: 3.7s
Epoch 041 | Loss: 0.1165 | Acc: 0.9609 | LR: 0.000250 | Time: 3.7s
Epoch 042 | Loss: 0.1170 | Acc: 0.9524 | LR: 0.000250 | Time: 3.7s
Epoch 043 | Loss: 0.1155 | Acc: 0.9567 | LR: 0.000250 | Time: 3.7s
Epoch 044 | Loss: 0.1148 | Acc: 0.9551 | LR: 0.000250 | Time: 3.7s
