section,metric,before_PRE_class_weight,after_POST_class_weight,data_provenance
a_test_split,macro_precision,1.0,0.9997850848914679,results/main_results_PRE_class_weight.csv vs results/main_results.csv (both live files)
a_test_split,macro_recall,1.0,0.9997702733746842,results/main_results_PRE_class_weight.csv vs results/main_results.csv (both live files)
a_test_split,macro_f1,1.0,0.9997776048861414,results/main_results_PRE_class_weight.csv vs results/main_results.csv (both live files)
a_test_split,confusion_matrix,"[[1550,0,0],[0,1214,0],[0,0,1451]]","[[1550,0,0],[0,1214,0],[1,0,1450]]",results/main_results_PRE_class_weight.csv vs results/main_results.csv (both live files) -- 1 new XSS->Benign error, minor
b_heldout_matrix,Benign_field_query_gatv2_accuracy,1.0,1.0,results/heldout_matrix_full_PRE_class_weight.csv vs results/heldout_matrix_full.csv (both live files)
b_heldout_matrix,Benign_header_field_gatv2_accuracy,1.0,1.0,results/heldout_matrix_full_PRE_class_weight.csv vs results/heldout_matrix_full.csv (both live files) -- stays fixed
b_heldout_matrix,Benign_json_field_gatv2_accuracy,1.0,1.0,results/heldout_matrix_full_PRE_class_weight.csv vs results/heldout_matrix_full.csv (both live files) -- stays fixed
b_heldout_matrix,SQLi_sql_new_commands_gatv2_accuracy,1.0,1.0,results/heldout_matrix_full_PRE_class_weight.csv vs results/heldout_matrix_full.csv (both live files)
b_heldout_matrix,SQLi_comment_splitting_gatv2_accuracy,0.0,0.0,results/heldout_matrix_full_PRE_class_weight.csv vs results/heldout_matrix_full.csv (both live files) -- UNCHANGED, still broken, class weighting did not fix it
b_heldout_matrix,SQLi_case_mixing_gatv2_accuracy,1.0,1.0,results/heldout_matrix_full_PRE_class_weight.csv vs results/heldout_matrix_full.csv (both live files)
b_heldout_matrix,XSS_data_uri_base64_gatv2_accuracy,1.0,1.0,results/heldout_matrix_full_PRE_class_weight.csv vs results/heldout_matrix_full.csv (both live files)
b_heldout_matrix,XSS_event_handler_focus_gatv2_accuracy,1.0,1.0,results/heldout_matrix_full_PRE_class_weight.csv vs results/heldout_matrix_full.csv (both live files)
b_heldout_matrix,XSS_svg_script_variant_gatv2_accuracy,1.0,1.0,results/heldout_matrix_full_PRE_class_weight.csv vs results/heldout_matrix_full.csv (both live files)
b_heldout_matrix,overall_cells_correct,8/9,8/9,results/heldout_matrix_full.csv -- NOT 9/9, target not reached
c_decision_tree_size_baseline,overall_accuracy_num_nodes_num_edges_only,0.7877,0.7877,data/decision_tree_size_baseline.txt (fresh run, unchanged)
d_training,class_weights_balanced,n/a (uniform CrossEntropyLoss),"[Benign=0.976, SQLi=0.755, XSS=1.535]",logs/training_history.log ("Computed class weights (balanced)" line, console + log file both confirmed)
d_training,epochs_run,17,11,logs/training_history_PRE_class_weight.log vs logs/training_history.log
d_training,best_epoch,7,1,logs/training_history_PRE_class_weight.log vs logs/training_history.log
e_diagnostic,comment_split_sample_logits,"Benign=5.96 SQLi=-0.25 XSS=-7.15 (gap -6.21, wrong)","Benign=3.35 SQLi=0.49 XSS=-3.97 (gap -2.86, still wrong)",inline logit probe -- gap narrowed roughly in half but did not flip the decision
e_diagnostic,comment_split_Esem_edges,4,4,scripts/inspect_semantic_edges.py -- unaffected (deterministic, independent of checkpoint)
