method,label,precision,recall,f1_score,support
gatv2,Benign,0.9741407002891102,0.6287254444617218,0.7642148369822019,19293.0
gatv2,SQLi,0.6427349302448012,0.9000184297825286,0.7499232186732187,10852.0
gatv2,XSS,0.17299438758666227,0.9849624060150376,0.2942993541140129,532.0
gatv2,macro avg,0.5966233393735245,0.8379020934197626,0.6028124699231445,30677.0
gatv2,weighted avg,0.843012322192212,0.7308732926948528,0.7510099056403183,30677.0
string_matching,Benign,0.0,0.0,0.0,19293.0
string_matching,SQLi,1.0,0.7007924806487283,0.8240775857398277,10852.0
string_matching,XSS,1.0,0.8627819548872181,0.9263370332996973,532.0
string_matching,micro avg,1.0,0.26286794667014374,0.4163031413747709,30677.0
string_matching,macro avg,0.6666666666666666,0.5211914785119821,0.5834715396798417,30677.0
string_matching,weighted avg,0.37109234931707796,0.26286794667014374,0.30758226887127327,30677.0
decision_tree_size_only,Benign,0.5148514851485149,0.07816306432384802,0.13572135721357215,19293.0
decision_tree_size_only,SQLi,0.6385731771288686,0.33652782897161815,0.44077001991430814,10852.0
decision_tree_size_only,XSS,0.014072359162921603,0.5827067669172933,0.027481051371836356,532.0
decision_tree_size_only,macro avg,0.38916567381343503,0.3324658867375865,0.20132414283323888,30677.0
decision_tree_size_only,weighted avg,0.5499335761726197,0.17830948267431626,0.24175533201295227,30677.0
