=== per-seed results ===
seed,accuracy,macro_precision,macro_recall,macro_f1,heldout_cells_correct,heldout_cells_total,benign_precision,benign_recall,benign_f1,sqli_precision,sqli_recall,sqli_f1,xss_precision,xss_recall,xss_f1
42,1.0,1.0,1.0,1.0,7,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
43,0.9997627520759194,0.9997850848914679,0.9997702733746842,0.9997776048861414,8,9,0.9993552546744036,1.0,0.999677523379555,1.0,1.0,1.0,1.0,0.9993108201240524,0.9996552912788693
44,0.9997627520759194,0.9997850848914679,0.9997702733746842,0.9997776048861414,7,9,0.9993552546744036,1.0,0.999677523379555,1.0,1.0,1.0,1.0,0.9993108201240524,0.9996552912788693
45,0.9997627520759194,0.9997850848914679,0.9997702733746842,0.9997776048861414,8,9,0.9993552546744036,1.0,0.999677523379555,1.0,1.0,1.0,1.0,0.9993108201240524,0.9996552912788693
46,0.9997627520759194,0.9997850848914679,0.9997702733746842,0.9997776048861414,8,9,0.9993552546744036,1.0,0.999677523379555,1.0,1.0,1.0,1.0,0.9993108201240524,0.9996552912788693

=== mean/std/min/max across 5 seeds ===
metric,mean,std,min,max
accuracy,0.9998102016607355,0.00010610049715300468,0.9997627520759194,1.0
macro_precision,0.9998280679131742,9.611295841390857e-05,0.9997850848914679,1.0
macro_recall,0.9998162186997472,0.0001027368700895686,0.9997702733746842,1.0
macro_f1,0.9998220839089133,9.94581184903161e-05,0.9997776048861414,1.0
benign_precision,0.9994842037395228,0.00028833887524177534,0.9993552546744036,1.0
benign_recall,1.0,0.0,1.0,1.0
benign_f1,0.999742018703644,0.00014421592889390366,0.999677523379555,1.0
sqli_precision,1.0,0.0,1.0,1.0
sqli_recall,1.0,0.0,1.0,1.0
sqli_f1,1.0,0.0,1.0,1.0
xss_precision,1.0,0.0,1.0,1.0
xss_recall,0.9994486560992419,0.00030821061026875546,0.9993108201240524,1.0
xss_f1,0.9997242330230953,0.00015415842657704465,0.9996552912788693,1.0
cohens_d_vs_HGT_95.87pct,387.4647411072129,,,
heldout_cells_correct_/9,7.6,0.5477225575051662,7,8
