seed,group,source_uid,true_label,pred_label,correct,prob_benign,prob_sqli,prob_xss,logit_gap
42,attribute_spacing_in_range,window_test_in_range_00,2,2,1,1.5446979806377215e-10,3.4123948111641766e-09,1.0,0.9999999965876052
42,attribute_spacing_in_range,window_test_in_range_01,2,2,1,1.6964413207531948e-10,4.0730316896997465e-09,1.0,0.9999999959269683
42,attribute_spacing_in_range,window_test_in_range_02,2,2,1,1.5446979806377215e-10,3.4123948111641766e-09,1.0,0.9999999965876052
42,attribute_spacing_in_range,window_test_in_range_03,2,2,1,1.3245429753006022e-10,2.8289259823566226e-09,1.0,0.999999997171074
42,attribute_spacing_in_range,window_test_in_range_04,2,2,1,1.539600530398033e-10,3.5938965137205514e-09,1.0,0.9999999964061035
42,attribute_spacing_in_range,window_test_in_range_05,2,2,1,1.5395976160625935e-10,3.5938896303377987e-09,1.0,0.9999999964061104
42,attribute_spacing_in_range,window_test_in_range_06,2,2,1,1.464545151819152e-10,3.453376473672165e-09,1.0,0.9999999965466235
42,attribute_spacing_in_range,window_test_in_range_07,2,2,1,1.7025157672545532e-10,4.718900825650962e-09,1.0,0.9999999952810992
42,attribute_spacing_in_range,window_test_in_range_08,2,2,1,1.847577091318442e-10,5.090537325003197e-09,1.0,0.9999999949094627
42,attribute_spacing_in_range,window_test_in_range_09,2,2,1,1.7792663176141588e-10,4.512237694598298e-09,1.0,0.9999999954877623
42,attribute_spacing_out_of_range,window_test_out_of_range_00,2,2,1,5.051999374394711e-10,3.2004736638668874e-09,1.0,0.9999999967995263
42,attribute_spacing_out_of_range,window_test_out_of_range_01,2,2,1,6.167176769267257e-10,3.9858352174348965e-09,1.0,0.9999999960141648
42,attribute_spacing_out_of_range,window_test_out_of_range_02,2,2,1,5.613854381358863e-10,3.315459462527315e-09,1.0,0.9999999966845405
42,attribute_spacing_out_of_range,window_test_out_of_range_03,2,2,1,4.832969580093049e-10,2.7421558357332287e-09,1.0,0.9999999972578442
42,attribute_spacing_out_of_range,window_test_out_of_range_04,2,2,1,5.549085635436768e-10,3.455175034972058e-09,1.0,0.999999996544825
42,attribute_spacing_out_of_range,window_test_out_of_range_05,2,2,1,5.222258181447614e-10,3.4148950334156325e-09,1.0,0.999999996585105
42,attribute_spacing_out_of_range,window_test_out_of_range_06,2,2,1,5.368457900445378e-10,3.318610053426596e-09,1.0,0.99999999668139
42,attribute_spacing_out_of_range,window_test_out_of_range_07,2,2,1,6.354369808114768e-10,4.559700172990233e-09,1.0,0.9999999954402998
42,attribute_spacing_out_of_range,window_test_out_of_range_08,2,2,1,6.977365907268052e-10,4.9655826117600554e-09,1.0,0.9999999950344174
42,attribute_spacing_out_of_range,window_test_out_of_range_09,2,2,1,6.5996647036215e-10,4.377032514213397e-09,1.0,0.9999999956229675
43,attribute_spacing_in_range,window_test_in_range_00,2,2,1,2.5270441295077717e-10,4.45478653965381e-10,1.0,0.9999999995545213
43,attribute_spacing_in_range,window_test_in_range_01,2,2,1,2.5112503743152104e-10,4.895015504047251e-10,1.0,0.9999999995104984
43,attribute_spacing_in_range,window_test_in_range_02,2,2,1,2.5270441295077717e-10,4.45478653965381e-10,1.0,0.9999999995545213
43,attribute_spacing_in_range,window_test_in_range_03,2,2,1,2.3469612364657166e-10,3.9251762951053593e-10,1.0,0.9999999996074824
43,attribute_spacing_in_range,window_test_in_range_04,2,2,1,2.4297433509623545e-10,4.526061192500208e-10,1.0,0.9999999995473938
43,attribute_spacing_in_range,window_test_in_range_05,2,2,1,2.4297433509623545e-10,4.526061192500208e-10,1.0,0.9999999995473938
43,attribute_spacing_in_range,window_test_in_range_06,2,2,1,2.337378901540177e-10,4.3590264731108164e-10,1.0,0.9999999995640974
43,attribute_spacing_in_range,window_test_in_range_07,2,2,1,2.239913393653481e-10,5.064251795694474e-10,1.0,0.9999999994935749
43,attribute_spacing_in_range,window_test_in_range_08,2,2,1,2.342149529876991e-10,5.396330604590105e-10,1.0,0.999999999460367
43,attribute_spacing_in_range,window_test_in_range_09,2,2,1,2.446913782705451e-10,5.121514323747078e-10,1.0,0.9999999994878486
43,attribute_spacing_out_of_range,window_test_out_of_range_00,2,2,1,1.2971842489051255e-09,4.4423137390836587e-10,1.0,0.9999999987028158
43,attribute_spacing_out_of_range,window_test_out_of_range_01,2,2,1,1.4750249910377988e-09,5.031161043334009e-10,1.0,0.999999998524975
43,attribute_spacing_out_of_range,window_test_out_of_range_02,2,2,1,1.5174647094440274e-09,4.5628301137412564e-10,1.0,0.9999999984825353
43,attribute_spacing_out_of_range,window_test_out_of_range_03,2,2,1,1.4500948219975385e-09,3.971793449686345e-10,1.0,0.9999999985499052
43,attribute_spacing_out_of_range,window_test_out_of_range_04,2,2,1,1.4278500604092415e-09,4.590799684844882e-10,1.0,0.9999999985721499
43,attribute_spacing_out_of_range,window_test_out_of_range_05,2,2,1,1.2832409579388582e-09,4.4755671391172314e-10,1.0,0.999999998716759
43,attribute_spacing_out_of_range,window_test_out_of_range_06,2,2,1,1.4128365144472355e-09,4.43165032448789e-10,1.0,0.9999999985871635
43,attribute_spacing_out_of_range,window_test_out_of_range_07,2,2,1,1.3696919154426723e-09,5.333379848870834e-10,1.0,0.9999999986303081
43,attribute_spacing_out_of_range,window_test_out_of_range_08,2,2,1,1.4475304288552593e-09,5.72233982421011e-10,1.0,0.9999999985524696
43,attribute_spacing_out_of_range,window_test_out_of_range_09,2,2,1,1.4824004246349887e-09,5.366840305498499e-10,1.0,0.9999999985175996
44,attribute_spacing_in_range,window_test_in_range_00,2,2,1,2.415761368723679e-09,4.6536719366940815e-08,1.0,0.9999999534632806
44,attribute_spacing_in_range,window_test_in_range_01,2,2,1,2.107514607274652e-09,4.949142251575722e-08,1.0,0.9999999505085775
44,attribute_spacing_in_range,window_test_in_range_02,2,2,1,2.415761368723679e-09,4.6536719366940815e-08,1.0,0.9999999534632806
44,attribute_spacing_in_range,window_test_in_range_03,2,2,1,2.7543536340601804e-09,4.4591690340212153e-08,1.0,0.9999999554083097
44,attribute_spacing_in_range,window_test_in_range_04,2,2,1,2.284990419099131e-09,4.743312587152104e-08,1.0,0.9999999525668741
44,attribute_spacing_in_range,window_test_in_range_05,2,2,1,2.284990419099131e-09,4.743312587152104e-08,1.0,0.9999999525668741
44,attribute_spacing_in_range,window_test_in_range_06,2,2,1,2.3268513782426226e-09,4.7062293617727846e-08,1.0,0.9999999529377064
44,attribute_spacing_in_range,window_test_in_range_07,2,2,1,1.7836436772000752e-09,5.2150870288869555e-08,1.0,0.9999999478491297
44,attribute_spacing_in_range,window_test_in_range_08,2,2,1,1.7414817365946078e-09,5.3528097510024963e-08,1.0,0.9999999464719025
44,attribute_spacing_in_range,window_test_in_range_09,2,2,1,1.9308605825330005e-09,5.1281276114423235e-08,1.0,0.9999999487187239
44,attribute_spacing_out_of_range,window_test_out_of_range_00,2,2,1,1.3516091357246296e-08,4.9735469076495065e-08,0.9999998807907104,0.9999998310552414
44,attribute_spacing_out_of_range,window_test_out_of_range_01,2,2,1,1.2512482605586683e-08,5.1801407607854344e-08,0.9999998807907104,0.9999998289893028
44,attribute_spacing_out_of_range,window_test_out_of_range_02,2,2,1,1.4679388371519053e-08,5.046610240810878e-08,0.9999998807907104,0.999999830324608
44,attribute_spacing_out_of_range,window_test_out_of_range_03,2,2,1,1.758676404506332e-08,4.909119155627195e-08,0.9999998807907104,0.9999998316995189
