method,seed,test_acc,test_macro_f1,heldout_correct,heldout_total,heldout_full_cells,ext_acc,ext_macro_f1,ext_weighted_f1,ext_benign_recall,ext_sqli_recall,ext_xss_recall
GCN,42,1.0,1.0,70,90,7,0.6461844378524627,0.5284283534197393,0.668913328637499,0.5059347950033691,0.8788241798746774,0.9868421052631579
GCN,43,1.0,1.0,80,90,8,0.7505297128141605,0.6246612553835422,0.765661880026732,0.6376924273052402,0.939550313306303,0.9868421052631579
GCN,44,0.9997627520759194,0.9997776048861414,90,90,9,0.7921243928676207,0.6942872650834557,0.7995754343135832,0.6852226196029648,0.9725396240324364,0.9887218045112782
GCN,45,0.9997627520759194,0.9997776048861414,80,90,8,0.7757277439123773,0.6535981241973666,0.7902692890516606,0.7118125745088892,0.8790084776999632,0.9868421052631579
GCN,46,1.0,1.0,80,90,8,0.6765003096782606,0.5502600338373262,0.7029092236176033,0.5434095267713679,0.8979911537043863,0.9849624060150376
GraphSAGE,42,0.9997627520759194,0.9997776048861414,80,90,8,0.8121067901033348,0.7545465744778643,0.8177564833207797,0.7252371326387809,0.9581643936601548,0.9830827067669173
GraphSAGE,43,1.0,1.0,80,90,8,0.7253968771392248,0.6522264717799994,0.7277650025551241,0.5777743222930597,0.9752119424990785,0.9830827067669173
GraphSAGE,44,1.0,1.0,70,90,7,0.6493464158816051,0.5448252181225048,0.6577700937745039,0.4796558337220754,0.9345742720235901,0.9849624060150376
GraphSAGE,45,0.9997627520759194,0.9997478664081753,80,90,8,0.6649607197574731,0.5629002993190361,0.6699018780543246,0.4892966360856269,0.9614817545152967,0.9868421052631579
GraphSAGE,46,1.0,1.0,80,90,8,0.6796296899957623,0.5512323293017987,0.7035594224377939,0.5123101643082983,0.9619424990785109,0.9887218045112782
GIN,42,0.9997627520759194,0.9997478664081753,80,90,8,0.6696873879453662,0.5677575754241168,0.6868143398681738,0.557922562587467,0.8524695908588279,0.9943609022556391
GIN,43,1.0,1.0,70,90,7,0.6460214492942595,0.5255408620848371,0.6718064821992985,0.4984709480122324,0.892185772207888,0.9755639097744361
GIN,44,1.0,1.0,80,90,8,0.5712097010789843,0.47724924858021756,0.5838883296420434,0.41144456538640956,0.8347769996314044,0.9887218045112782
GIN,45,0.9997627520759194,0.9997776048861414,70,90,7,0.7751083873912051,0.6618540007485311,0.785103527401295,0.6669776602912973,0.9571507556210836,0.9830827067669173
GIN,46,1.0,1.0,80,90,8,0.6997424780780389,0.5668515480073287,0.7307259822953378,0.5924428549214741,0.8764283081459638,0.9868421052631579
HGT,42,1.0,1.0,90,90,9,0.6856928643609219,0.5549347163749276,0.7190477083784373,0.5711916239050433,0.8746774788057501,0.9830827067669173
HGT,43,0.9997627520759194,0.9997776048861414,90,90,9,0.7998174528148124,0.6563716115679895,0.8190520887170412,0.7256517908049551,0.9225027644673793,0.9868421052631579
HGT,44,1.0,1.0,90,90,9,0.3942041268702937,0.3076331661833803,0.3277837709324558,0.0586741305136578,0.9617582012532252,0.9849624060150376
HGT,45,0.9997627520759194,0.9997478664081753,90,90,9,0.39250904586498025,0.36440248390753266,0.40736348612028084,0.08282796869330845,0.9140250645042388,0.9849624060150376
HGT,46,1.0,1.0,90,90,9,0.39309580467451183,0.35182387205074495,0.404054739639394,0.110817394910071,0.8659233321046812,0.9849624060150376
