model,seed,test_acc,heldout_correct,heldout_full_cells,cs_correct,cm_correct,cs_margin,ext_wF1,ext_benign_recall,ext_sqli_recall,ext_xss_recall,cell:Benign/field_query,cell:Benign/header_field,cell:Benign/json_field,cell:SQLi/sql_new_commands,cell:SQLi/comment_splitting,cell:SQLi/case_mixing,cell:XSS/data_uri_base64,cell:XSS/event_handler_focus,cell:XSS/svg_script_variant
gatv2,42,1.0,80,8,0,10,-1.386289358139038,0.8398921531611265,0.6953817446742342,0.9283081459638777,0.9906015037593985,10,10,10,10,0,10,10,10,10
gatv2,43,0.9997627520759194,80,8,0,10,-5.269631385803223,0.7711351063181555,0.635826465557456,0.9691301142646517,0.9887218045112782,10,10,10,10,0,10,10,10,10
gatv2,44,0.9997627520759194,70,7,0,10,-0.976193904876709,0.7836362670672303,0.6883325558492718,0.91015481017324,0.9868421052631579,10,10,10,10,0,10,0,10,10
gatv2,45,0.9997627520759194,80,8,0,10,-4.3880839347839355,0.8140439221368747,0.7192764215000259,0.9648912642830815,0.9849624060150376,10,10,10,10,0,10,10,10,10
gatv2,46,0.9997627520759194,80,8,0,10,-0.15740832686424255,0.7715012444514023,0.6333903488311823,0.9671028381865094,0.9906015037593985,10,10,10,10,0,10,10,10,10
hgt,42,1.0,90,9,10,10,0.3094152510166168,0.7190477083784373,0.5711916239050433,0.8746774788057501,0.9830827067669173,10,10,10,10,10,10,10,10,10
hgt,43,0.9997627520759194,90,9,10,10,7.558915615081787,0.8190520887170412,0.7256517908049551,0.9225027644673793,0.9868421052631579,10,10,10,10,10,10,10,10,10
hgt,44,1.0,90,9,10,10,2.224538803100586,0.3277837709324558,0.0586741305136578,0.9617582012532252,0.9849624060150376,10,10,10,10,10,10,10,10,10
hgt,45,0.9997627520759194,90,9,10,10,5.666533470153809,0.40736348612028084,0.08282796869330845,0.9140250645042388,0.9849624060150376,10,10,10,10,10,10,10,10,10
hgt,46,1.0,90,9,10,10,4.03623104095459,0.404054739639394,0.110817394910071,0.8659233321046812,0.9849624060150376,10,10,10,10,10,10,10,10,10
hgt_collapsed,42,0.9997627520759194,80,8,0,10,-4.2131123542785645,0.7878899087127154,0.6816980251904836,0.9470143752303722,0.981203007518797,10,10,10,10,0,10,10,10,10
hgt_collapsed,43,0.9997627520759194,80,8,0,10,-4.457491874694824,0.7607283569520434,0.6502358368320116,0.8922779211205307,0.9849624060150376,10,10,10,10,0,10,10,10,10
hgt_collapsed,44,0.9997627520759194,80,8,0,10,-0.12385036796331406,0.7820577011552187,0.6860001036645416,0.887762624401032,0.9849624060150376,10,10,10,10,0,10,10,10,10
hgt_collapsed,45,0.9997627520759194,80,8,10,10,0.23184867203235626,0.7077621504931106,0.5522728450733426,0.9494102469590859,0.981203007518797,10,10,10,10,10,10,0,10,10
hgt_collapsed,46,0.9997627520759194,80,8,0,10,-3.8181495666503906,0.7317387657333295,0.5925983517337895,0.8988204939181718,0.9849624060150376,10,10,10,10,0,10,10,10,10
hgt_random,42,0.9997627520759194,80,8,0,10,-7.666675567626953,0.7265972079565138,0.5861193178873166,0.9445263545890159,0.981203007518797,10,10,10,10,0,10,10,10,10
hgt_random,43,0.9995255041518387,80,8,0,10,-4.709054470062256,0.6903197851677119,0.5438241849375421,0.8875783265757464,0.9906015037593985,10,10,10,10,0,10,10,10,10
hgt_random,44,0.9995255041518387,80,8,0,10,-7.269031524658203,0.7989933635622111,0.7234748354325403,0.8882233689642463,0.9924812030075187,10,10,10,10,0,10,10,10,10
hgt_random,45,0.9995255041518387,90,9,10,10,5.520027160644531,0.7341355154354221,0.5729020888405121,0.9729082196830078,0.9943609022556391,10,10,10,10,10,10,10,10,10
hgt_random,46,0.999288256227758,78,7,0,8,-11.93948745727539,0.7339723798574799,0.6091846783807598,0.8772576483597494,0.9868421052631579,10,10,10,10,0,8,10,10,10
