model,seed,cond,dataset,cell,n_correct,n_total,cs_margin
hgt,42,real,matrix,Benign/field_query,10,10,
hgt,42,real,matrix,Benign/header_field,10,10,
hgt,42,real,matrix,Benign/json_field,10,10,
hgt,42,real,matrix,SQLi/sql_new_commands,10,10,
hgt,42,real,matrix,SQLi/comment_splitting,10,10,0.30941516160964966
hgt,42,real,matrix,SQLi/case_mixing,10,10,
hgt,42,real,matrix,XSS/data_uri_base64,10,10,
hgt,42,real,matrix,XSS/event_handler_focus,10,10,
hgt,42,real,matrix,XSS/svg_script_variant,10,10,
hgt,42,real,test_split,all,4215,4215,
hgt,42,all_seq,matrix,Benign/field_query,0,10,
hgt,42,all_seq,matrix,Benign/header_field,10,10,
hgt,42,all_seq,matrix,Benign/json_field,10,10,
hgt,42,all_seq,matrix,SQLi/sql_new_commands,0,10,
hgt,42,all_seq,matrix,SQLi/comment_splitting,0,10,-2.7849326133728027
hgt,42,all_seq,matrix,SQLi/case_mixing,0,10,
hgt,42,all_seq,matrix,XSS/data_uri_base64,10,10,
hgt,42,all_seq,matrix,XSS/event_handler_focus,10,10,
hgt,42,all_seq,matrix,XSS/svg_script_variant,10,10,
hgt,42,all_seq,test_split,all,2251,4215,
hgt,42,all_skip,matrix,Benign/field_query,10,10,
hgt,42,all_skip,matrix,Benign/header_field,0,10,
hgt,42,all_skip,matrix,Benign/json_field,0,10,
hgt,42,all_skip,matrix,SQLi/sql_new_commands,0,10,
hgt,42,all_skip,matrix,SQLi/comment_splitting,0,10,-4.835860729217529
hgt,42,all_skip,matrix,SQLi/case_mixing,0,10,
hgt,42,all_skip,matrix,XSS/data_uri_base64,10,10,
hgt,42,all_skip,matrix,XSS/event_handler_focus,10,10,
hgt,42,all_skip,matrix,XSS/svg_script_variant,10,10,
hgt,42,all_skip,test_split,all,3163,4215,
hgt,42,all_sem,matrix,Benign/field_query,0,10,
hgt,42,all_sem,matrix,Benign/header_field,0,10,
hgt,42,all_sem,matrix,Benign/json_field,0,10,
hgt,42,all_sem,matrix,SQLi/sql_new_commands,10,10,
hgt,42,all_sem,matrix,SQLi/comment_splitting,10,10,10.280936241149902
hgt,42,all_sem,matrix,SQLi/case_mixing,10,10,
hgt,42,all_sem,matrix,XSS/data_uri_base64,0,10,
hgt,42,all_sem,matrix,XSS/event_handler_focus,0,10,
hgt,42,all_sem,matrix,XSS/svg_script_variant,0,10,
hgt,42,all_sem,test_split,all,1214,4215,
hgt,42,cyclic,matrix,Benign/field_query,0,10,
hgt,42,cyclic,matrix,Benign/header_field,0,10,
hgt,42,cyclic,matrix,Benign/json_field,0,10,
hgt,42,cyclic,matrix,SQLi/sql_new_commands,10,10,
hgt,42,cyclic,matrix,SQLi/comment_splitting,10,10,0.3830036222934723
hgt,42,cyclic,matrix,SQLi/case_mixing,10,10,
hgt,42,cyclic,matrix,XSS/data_uri_base64,10,10,
hgt,42,cyclic,matrix,XSS/event_handler_focus,10,10,
hgt,42,cyclic,matrix,XSS/svg_script_variant,10,10,
hgt,42,cyclic,test_split,all,2655,4215,
hgt,42,swap_seq_skip,matrix,Benign/field_query,10,10,
hgt,42,swap_seq_skip,matrix,Benign/header_field,10,10,
hgt,42,swap_seq_skip,matrix,Benign/json_field,10,10,
hgt,42,swap_seq_skip,matrix,SQLi/sql_new_commands,10,10,
hgt,42,swap_seq_skip,matrix,SQLi/comment_splitting,10,10,3.334207534790039
hgt,42,swap_seq_skip,matrix,SQLi/case_mixing,10,10,
hgt,42,swap_seq_skip,matrix,XSS/data_uri_base64,10,10,
hgt,42,swap_seq_skip,matrix,XSS/event_handler_focus,10,10,
hgt,42,swap_seq_skip,matrix,XSS/svg_script_variant,10,10,
hgt,42,swap_seq_skip,test_split,all,4214,4215,
hgt,42,sem_as_seq,matrix,Benign/field_query,10,10,
hgt,42,sem_as_seq,matrix,Benign/header_field,10,10,
hgt,42,sem_as_seq,matrix,Benign/json_field,10,10,
hgt,42,sem_as_seq,matrix,SQLi/sql_new_commands,10,10,
hgt,42,sem_as_seq,matrix,SQLi/comment_splitting,0,10,-3.569823741912842
hgt,42,sem_as_seq,matrix,SQLi/case_mixing,0,10,
hgt,42,sem_as_seq,matrix,XSS/data_uri_base64,10,10,
hgt,42,sem_as_seq,matrix,XSS/event_handler_focus,10,10,
hgt,42,sem_as_seq,matrix,XSS/svg_script_variant,10,10,
hgt,42,sem_as_seq,test_split,all,4214,4215,
hgt,42,sem_as_skip,matrix,Benign/field_query,10,10,
hgt,42,sem_as_skip,matrix,Benign/header_field,10,10,
hgt,42,sem_as_skip,matrix,Benign/json_field,10,10,
hgt,42,sem_as_skip,matrix,SQLi/sql_new_commands,10,10,
hgt,42,sem_as_skip,matrix,SQLi/comment_splitting,0,10,-3.7763924598693848
hgt,42,sem_as_skip,matrix,SQLi/case_mixing,0,10,
hgt,42,sem_as_skip,matrix,XSS/data_uri_base64,10,10,
hgt,42,sem_as_skip,matrix,XSS/event_handler_focus,10,10,
hgt,42,sem_as_skip,matrix,XSS/svg_script_variant,10,10,
hgt,42,sem_as_skip,test_split,all,4213,4215,
hgt,42,random,matrix,Benign/field_query,0,10,
hgt,42,random,matrix,Benign/header_field,0,10,
hgt,42,random,matrix,Benign/json_field,0,10,
hgt,42,random,matrix,SQLi/sql_new_commands,10,10,
hgt,42,random,matrix,SQLi/comment_splitting,10,10,2.4619054794311523
hgt,42,random,matrix,SQLi/case_mixing,10,10,
hgt,42,random,matrix,XSS/data_uri_base64,0,10,
hgt,42,random,matrix,XSS/event_handler_focus,10,10,
hgt,42,random,matrix,XSS/svg_script_variant,10,10,
hgt,42,random,test_split,all,2661,4215,
hgt,42,drop_sem,matrix,Benign/field_query,10,10,
hgt,42,drop_sem,matrix,Benign/header_field,10,10,
hgt,42,drop_sem,matrix,Benign/json_field,10,10,
hgt,42,drop_sem,matrix,SQLi/sql_new_commands,10,10,
hgt,42,drop_sem,matrix,SQLi/comment_splitting,0,10,-3.5061142444610596
hgt,42,drop_sem,matrix,SQLi/case_mixing,0,10,
hgt,42,drop_sem,matrix,XSS/data_uri_base64,10,10,
hgt,42,drop_sem,matrix,XSS/event_handler_focus,10,10,
hgt,42,drop_sem,matrix,XSS/svg_script_variant,10,10,
hgt,42,drop_sem,test_split,all,4214,4215,
hgt,42,drop_skip,matrix,Benign/field_query,0,10,
hgt,42,drop_skip,matrix,Benign/header_field,0,10,
hgt,42,drop_skip,matrix,Benign/json_field,10,10,
hgt,42,drop_skip,matrix,SQLi/sql_new_commands,0,10,
hgt,42,drop_skip,matrix,SQLi/comment_splitting,0,10,-11.124619483947754
