model,device,stage,mean_ms,p50_ms,p95_ms,p99_ms,min_ms,max_ms
GATv2,cpu,preprocessing_ms,0.2202121640148107,0.16116849928948795,0.5549069007429352,0.6204448007883911,0.054180000006454065,0.8989269990706816
GATv2,cpu,bag_construction_ms,0.026956874013194465,0.02086750009766547,0.05371999905037227,0.06481589078248362,0.007639000614290126,0.08541799979866482
GATv2,cpu,forward_ms,1.3421607360178314,1.2996304994885577,1.6096254496005713,1.7564215709899142,1.042870999299339,4.482314001506893
GATv2,cpu,end_to_end_ms,1.7854972050245124,1.6560884996579261,2.587596501052758,2.7680167089602037,1.246351999725448,4.838579001443577
GCN,cpu,preprocessing_ms,0.21869639102260408,0.15986350081220735,0.5511256492354731,0.5979377408038999,0.05262199920252897,0.883181999597582
GCN,cpu,bag_construction_ms,0.026355680984124774,0.02020800002355827,0.05278575063130119,0.06394662950697239,0.007242000719998032,0.08224799967138097
GCN,cpu,forward_ms,0.9681569989788841,0.9410490001755534,1.1128986997391621,1.1901007483356807,0.8571449998271419,1.4078839994908776
GCN,cpu,end_to_end_ms,1.4114288039963867,1.295527000365837,2.0555065001644834,2.1636208196105144,1.0694550001062453,2.7398959991842275
GraphSAGE,cpu,preprocessing_ms,0.21848072698958276,0.1596000001882203,0.5554423000830866,0.5964782506998745,0.0545920011063572,0.7369450013356982
GraphSAGE,cpu,bag_construction_ms,0.026827221005078172,0.02058400059468113,0.05489834893523947,0.0642741693445714,0.007402999472105876,0.07718699998804368
GraphSAGE,cpu,forward_ms,0.6918459160297061,0.6678745003227959,0.8164376003151118,0.8840025810241059,0.5741509994550142,1.043284000843414
GraphSAGE,cpu,end_to_end_ms,1.137458488017728,1.0234170003968757,1.7914280004333702,1.8940091205695353,0.8177130002877675,2.1148890009499155
GIN,cpu,preprocessing_ms,0.22270335102075478,0.16183249954337953,0.5709060002118349,0.6171791604356257,0.05246299951977562,0.7486469985451549
GIN,cpu,bag_construction_ms,0.026863657985813916,0.020634000065911096,0.054557998919335646,0.06597521032745135,0.007299000571947545,0.08751600034884177
GIN,cpu,forward_ms,0.7014372609664861,0.673485999868717,0.8518781498423776,0.9529081805703753,0.5690380003215978,1.0979569997289218
GIN,cpu,end_to_end_ms,1.152400962977481,1.0300050007572281,1.8221925996840582,1.938602630780224,0.7737710002402309,2.303713999936008
HGT,cpu,preprocessing_ms,0.22624240302684484,0.16652550038998015,0.5673712993484513,0.6182043199805776,0.05396499909693375,0.7344829991779989
HGT,cpu,bag_construction_ms,0.6246317139994062,0.43074049972346984,1.7331194506368772,1.8716999096614013,0.06282100002863444,2.3461390010197647
HGT,cpu,forward_ms,4.54668172799029,4.453888500393077,5.1998437507791095,5.504567938787659,3.976710999268107,6.10639000115043
HGT,cpu,end_to_end_ms,5.60210990001724,5.229575500379724,7.843662700724962,8.262986401132366,4.308866000428679,8.908964999136515
GATv2,cuda,preprocessing_ms,0.18676968400905025,0.1345644996035844,0.47793940038900473,0.5489583997223234,0.04455899943422992,0.6479570001829416
GATv2,cuda,bag_construction_ms,0.02293040498443588,0.017249999473278876,0.046911999652365914,0.06281708057940705,0.0060540005506481975,0.11184399954800028
GATv2,cuda,forward_ms,1.7004657400029828,1.666133000071568,1.8685527994421136,2.4056166202717577,1.5601049999531824,2.6294939998479094
GATv2,cuda,end_to_end_ms,2.176577650008767,2.0762184994964628,2.6887203995102027,3.0050154294985982,1.8569700005173218,3.4847819988499396
GCN,cuda,preprocessing_ms,0.1847626200196828,0.13390999993134756,0.46808040078758495,0.5306781105537083,0.04391699985717423,0.678517000778811
GCN,cuda,bag_construction_ms,0.022688960969389882,0.01711999993858626,0.044777300718124025,0.061904879730718676,0.006121999831520952,0.10934700003417674
GCN,cuda,forward_ms,1.3199314469384262,1.2932564995935536,1.4418181998735236,1.9210346888758065,1.2145719992986415,2.416745999653358
GCN,cuda,end_to_end_ms,1.7931797579512931,1.69538899899635,2.277438849432656,2.566695718614937,1.4825079997535795,3.4021169994957745
GraphSAGE,cuda,preprocessing_ms,0.18535993699879327,0.13316750028025126,0.47345039947686013,0.5287573291025183,0.04651500057661906,0.703953999618534
GraphSAGE,cuda,bag_construction_ms,0.022218768017410184,0.017030500202963594,0.04500634968280792,0.05561402986131725,0.00596999961999245,0.08173700007318985
GraphSAGE,cuda,forward_ms,0.8938971830175433,0.8745844997974928,0.9623344000829093,1.266696319744369,0.8191169999918202,1.7861859996628482
GraphSAGE,cuda,end_to_end_ms,1.3639648900207249,1.2744360001306632,1.8245361005938319,2.149484230394591,1.0950970008707372,2.748922999671777
GIN,cuda,preprocessing_ms,0.18412272195746482,0.1329729993813089,0.46495454953401344,0.5204913997113181,0.04400099896884058,0.6896899994899286
GIN,cuda,bag_construction_ms,0.02244392002648965,0.017172999832837377,0.04511669903877191,0.05630489034956553,0.006299000233411789,0.10471200039319228
GIN,cuda,forward_ms,0.863126110039957,0.8418835004704306,0.9341082500213815,1.0678592811382253,0.787248000051477,1.9777159996010596
GIN,cuda,end_to_end_ms,1.3416748539948458,1.2327135000305134,1.812455249910272,2.6603579497168535,1.0636049992172047,3.4847299993998604
HGT,cuda,preprocessing_ms,0.18743515100504737,0.13452849998429883,0.47292360013670987,0.5568416995629377,0.04420100049173925,0.6951209998078411
HGT,cuda,bag_construction_ms,0.525344611998662,0.3565734996300307,1.461084149468661,1.6302784995968977,0.05439000051410403,2.0006270005978877
HGT,cuda,forward_ms,7.091510382000706,6.996437500674801,7.833213899994006,8.782621370992274,6.577862999620265,9.473258000070928
HGT,cuda,end_to_end_ms,8.092564371980188,7.804884499819309,9.641393499805417,10.433856158724666,7.036647999484558,11.747675000151503
