method,seed,test_acc,test_macro_f1,heldout_correct,heldout_total,heldout_full_cells,ext_acc,ext_macro_f1,ext_weighted_f1,ext_benign_recall,ext_sqli_recall,ext_xss_recall
Bi-LSTM,42,1.0,1.0,42,90,4,0.22358770414316914,0.23452423267460132,0.3098657469340506,0.16467112424195304,0.29091411721341687,0.9868421052631579
Bi-LSTM,43,1.0,1.0,70,90,7,0.44248133781008575,0.4008892056683219,0.5018245194825353,0.22230860934017518,0.8073166236638407,0.9849624060150376
Bi-LSTM,44,1.0,1.0,89,90,8,0.4602470906542361,0.4115474543486033,0.5032530200533271,0.20199035919763644,0.8933837080722448,0.9906015037593985
Bi-LSTM,45,1.0,1.0,76,90,7,0.3618997946344167,0.3508901077203668,0.46009579937153383,0.24407816306432384,0.5401769259122743,0.9981203007518797
Bi-LSTM,46,1.0,1.0,80,90,8,0.3766991557192685,0.3507234796575282,0.44280416581371285,0.20230135282226713,0.6565610025801696,0.9924812030075187
TextCNN,42,1.0,1.0,80,90,8,0.44743618997946344,0.38678601406825713,0.4720198734908056,0.1911574146063339,0.8765204570586067,0.9887218045112782
TextCNN,43,1.0,1.0,76,90,7,0.4719822668448675,0.4167026962984939,0.5173765414432229,0.22386357746332866,0.8878547733136749,0.9868421052631579
TextCNN,44,1.0,1.0,80,90,8,0.5161195684062979,0.4510398832122097,0.5773330294600725,0.3023376354118074,0.873110947290822,0.9868421052631579
TextCNN,45,1.0,1.0,87,90,8,0.4634742641066597,0.4105550380272582,0.5143871635066201,0.23340071528533665,0.8467563582749723,0.9887218045112782
TextCNN,46,1.0,1.0,90,90,9,0.4382110375851615,0.38195361872794126,0.4620281683064831,0.17524490747939667,0.8790084776999632,0.9830827067669173
StackLSTM,42,1.0,1.0,64,90,5,0.3537829644358966,0.33463661848805576,0.3846219039937627,0.098429482195615,0.7769996314043495,0.981203007518797
StackLSTM,43,0.9997627520759194,0.9997478324829895,34,90,3,0.28522997685562473,0.2885268602983687,0.361585731270689,0.15337168921370445,0.4854404718024327,0.9830827067669173
StackLSTM,44,0.9971530249110321,0.9970126979484917,44,90,4,0.3804804902695831,0.34962190793680664,0.4141713336168971,0.14207225418545585,0.7744194618503502,0.9906015037593985
StackLSTM,45,1.0,1.0,71,90,7,0.38657626234638326,0.3227844560093485,0.3600710773543841,0.08464209817032084,0.8935680058975304,0.9943609022556391
StackLSTM,46,1.0,1.0,40,90,4,0.34798057176386216,0.3506094116804283,0.43974956727024583,0.1899652723785829,0.5986914854404718,0.9642857142857143
